,Overall,KM3_1,KM3_2,KM3_3,KM4_1,KM4_2,KM4_3,KM4_4,KM5_1,KM5_2,KM5_3,KM5_4,KM5_5,KM6_1,KM6_2,KM6_3,KM6_4,KM6_5,KM6_6,KM7_1,KM7_2,KM7_3,KM7_4,KM7_5,KM7_6,KM7_7,KM8_1,KM8_2,KM8_3,KM8_4,KM8_5,KM8_6,KM8_7,KM8_8,KM9_1,KM9_2,KM9_3,KM9_4,KM9_5,KM9_6,KM9_7,KM9_8,KM9_9
Seg_size,8709.0,6157.0,2379.0,173.0,5246.0,91.0,887.0,2485.0,734.0,5176.0,309.0,2456.0,34.0,1771.0,5118.0,193.0,25.0,1078.0,524.0,568.0,26.0,113.0,563.0,484.0,4923.0,2032.0,375.0,462.0,25.0,4906.0,1000.0,338.0,1515.0,88.0,988.0,4904.0,22.0,53.0,426.0,348.0,1461.0,220.0,287.0
Seg_PCT,1.0,0.706969801355,0.273165690665,0.0198645079803,0.602365369158,0.0104489608451,0.101848662303,0.285337007693,0.0842806292341,0.59432770697,0.0354805373751,0.282007119072,0.00390400734872,0.20335285337,0.587667929728,0.0221609828913,0.00287059363876,0.123779997704,0.0601676426685,0.0652198874727,0.00298541738432,0.0129750832472,0.064645768745,0.0555746928465,0.565277299346,0.233321850959,0.0430589045815,0.0530485704444,0.00287059363876,0.563325295671,0.114823745551,0.0388104259961,0.173957974509,0.0101044896085,0.113445860604,0.56309564818,0.00252612240211,0.00608565851418,0.0489149156045,0.0399586634516,0.167757492249,0.0252612240211,0.032954414973
BALANCE,1587.84296986,873.559688619,3194.88673972,4909.72177976,801.15130737,4873.04344671,5323.74340321,1794.79972385,5358.57110019,789.462794713,3961.07341708,1793.43416991,5306.70012806,919.618806616,801.368202305,4389.66415485,5989.3911028,3949.56619714,5427.2991195,1896.18638759,5836.138232,5147.39565022,6913.00233123,1648.80860717,778.126957065,1721.12823124,2130.94815652,1754.58703779,5989.3911028,781.106824051,3844.51128897,8089.2631166,804.018484828,5002.09739897,3896.7111796,779.286614785,5604.71922914,5126.35153991,1421.04940307,1921.19572246,745.736111716,4479.78425594,8407.44115978
BALANCE_FREQUENCY,0.888667698473,0.868379569758,0.93968601177,0.909138456647,0.865931449676,0.856234230769,0.960565239008,0.912189907042,0.956283991826,0.865244890456,0.918943385113,0.914253340798,0.871390352941,0.885170467532,0.867196022665,0.897806906736,0.95963636,0.959549357143,0.957631669847,0.90753634507,0.961188807692,0.88561180531,0.984594106572,0.89935953719,0.865910880154,0.908644457677,0.917100568,0.900588385281,0.95963636,0.866354382593,0.967384245,0.989127970414,0.875814357096,0.869644079545,0.970010736842,0.866125468597,0.954132227273,0.808216924528,0.890373488263,0.915491149425,0.873371057495,0.951363990909,0.998416219512
ONEOFF_PURCHASES,601.02265128,324.848967029,965.438499369,5418.68780347,259.269668319,7324.92571429,1237.61440812,849.032342052,1134.80626703,257.992955951,1804.48873786,801.232911238,15899.1729412,997.534404291,264.905181712,2018.06528497,20749.7792,378.101289425,1519.20582061,2322.98223592,20451.9826923,1045.42946903,694.983765542,1371.34301653,236.191667682,515.349320866,3156.00589333,1275.08861472,20749.7792,244.113520179,325.59697,850.693254438,702.9310033,764.499431818,336.789301619,242.624912316,22779.1890909,1305.44679245,1156.59934272,3614.00183908,672.164784394,400.976181818,1117.6430662
INSTALLMENTS_PURCHASES,418.852330922,303.409295111,585.152063892,2240.5616185,270.581715593,2769.44505495,748.726956032,528.037408451,730.382697548,270.660005796,1077.41139159,504.377528502,4090.48617647,615.095584416,274.153175068,1243.4142487,5064.0236,289.563478664,909.552958015,1012.26839789,5166.95615385,1380.83539823,466.828170515,773.694380165,265.494044282,412.461476378,1413.27696,734.97469697,5064.0236,267.362244191,245.89475,642.488431953,543.95449505,600.24,256.545020243,266.032086052,5463.24,973.265283019,704.378591549,1576.56086207,530.211451061,269.682181818,819.670069686
CASH_ADVANCE,986.117888986,494.006694388,1840.3425775,6753.33228886,461.050480838,7706.66462903,3405.86464156,984.757124507,2399.66768219,455.780483779,6125.08665238,973.307904329,5427.31893515,195.0270527,421.251018935,7654.03438972,1567.81269872,3330.15646235,1871.01612376,1813.32958774,1507.51221031,10186.1407699,4255.30198799,334.292070665,429.967182711,833.483977831,1528.31626968,381.087137636,1567.81269872,417.688782865,2919.62123088,4541.13206357,162.29508105,11933.4367512,2609.41584127,424.228387636,1014.20640077,12521.4655131,374.435010676,705.963077845,155.07208089,7738.02400496,3169.06467287
PURCHASES_FREQUENCY,0.496080298657,0.475533929349,0.54203048802,0.595435763006,0.460598640488,0.62977021978,0.508810347238,0.561544863179,0.53937569891,0.461156183926,0.488311783172,0.55377123127,0.7813725,0.648525852061,0.463361480266,0.477657953368,0.91266664,0.336090709647,0.616468597328,0.641110350352,0.916025615385,0.399877389381,0.394229259325,0.685566258264,0.457718658745,0.531543175197,0.725613277333,0.680766378788,0.91266664,0.45952790583,0.325849149,0.424137819527,0.632077493069,0.337256465909,0.332152149798,0.458988017945,0.900757545455,0.458976528302,0.675136159624,0.792972841954,0.632059075975,0.292678859091,0.507969069686
ONEOFF_PURCHASES_FREQUENCY,0.204549496957,0.154872368361,0.31592127995,0.441015445087,0.132839448342,0.477441615385,0.302088750846,0.311125116298,0.325540074932,0.131898972566,0.301265174757,0.302846823697,0.673039235294,0.365371125918,0.134799044353,0.313442891192,0.79866672,0.149934913729,0.386177124046,0.445340396127,0.806410307692,0.224150460177,0.20571116341,0.442551471074,0.127586805606,0.257899809547,0.520346309333,0.437451272727,0.79866672,0.129295605381,0.148158415,0.221951733728,0.323200514851,0.193993477273,0.153487130567,0.129113833401,0.843181863636,0.279506641509,0.426083514085,0.591736324713,0.319486648871,0.130680963636,0.279730202091
PURCHASES_INSTALLMENTS_FREQUENCY,0.369531945803,0.360314080396,0.385552028583,0.477292757225,0.355652570339,0.509635626374,0.37317807779,0.392400215292,0.38496006812,0.35674038466,0.377589355987,0.387240642915,0.6313725,0.45607541389,0.35708380168,0.370751196891,0.73199996,0.237230307978,0.45305345229,0.474998989437,0.742307653846,0.326217309735,0.286518145648,0.463604621901,0.35451751818,0.374659271654,0.545532472,0.459831634199,0.73199996,0.35572219201,0.222342428,0.322805,0.450902537294,0.263589647727,0.227478227733,0.355000626835,0.6954545,0.374091358491,0.455875161972,0.599682172414,0.450306399042,0.196805709091,0.395011121951
CASH_ADVANCE_FREQUENCY,0.136559418303,0.107853167939,0.197572681379,0.319182716763,0.108574187381,0.284251450549,0.292885930101,0.134430215292,0.238077982289,0.107819562403,0.377712495146,0.136404527687,0.139705852941,0.0455379424054,0.105818533021,0.391831507772,0.06666664,0.358885092764,0.196375475191,0.178924857394,0.0641025384615,0.465061477876,0.391020147425,0.0546131818182,0.106271494008,0.129771827756,0.145697901333,0.0629858160173,0.06666664,0.105927916837,0.346617849,0.380991136095,0.0425448066007,0.504119920455,0.329568633603,0.106668909258,0.0416666363636,0.451890867925,0.0598578615023,0.0916492212644,0.0400053415469,0.498013409091,0.314657905923
CASH_ADVANCE_TRX,3.28717418762,2.28130583076,5.20680958386,12.6878612717,2.26305756767,12.0769230769,8.53438556933,3.25432595573,6.25476839237,2.24671561051,13.2783171521,3.27076547231,8.0,0.85036702428,2.15181711606,15.5958549223,2.52,9.71150278293,4.89885496183,5.17605633803,2.42307692308,19.4955752212,11.0053285968,0.977272727273,2.20028437944,2.91387795276,4.34933333333,1.13203463203,2.52,2.1500203832,9.026,10.9940828402,0.778877887789,22.0568181818,8.34210526316,2.16823001631,1.86363636364,19.5094339623,1.07276995305,2.43103448276,0.733744010951,17.9318181818,8.21602787456
PURCHASES_TRX,14.9595820416,10.9566347247,22.1134930643,59.0462427746,9.88105223027,64.0659340659,25.7429537768,20.0334004024,24.3801089918,9.86765842349,35.4174757282,19.1669381107,96.9117647059,22.8441558442,9.95525595936,36.4611398964,123.04,11.6790352505,30.8625954198,41.0105633803,121.961538462,30.2477876106,16.5719360568,25.7561983471,9.52082063782,15.6166338583,52.4826666667,25.183982684,123.04,9.6273950265,10.338,21.5118343195,19.4613861386,17.7954545455,10.8248987854,9.59176182708,129.727272727,28.3962264151,23.7464788732,58.2528735632,19.0164271047,9.19090909091,27.8675958188
CREDIT_LIMIT,4510.21680231,2622.81895617,8859.51316443,11872.8323699,2171.33445588,13117.5824176,11373.1167367,6682.89860374,12054.8365123,2141.65775803,8829.78817299,6556.19015892,15164.7058824,7038.02166213,2123.67537232,9976.44842205,16460.0,6172.00061843,13274.4274809,5891.49861289,16211.5384615,11270.3539823,10213.410302,12387.5,2046.79475027,6110.22950966,7129.61212121,12457.034632,16460.0,2038.090207,5908.96666667,11939.2011834,6309.8919892,10641.4772727,5958.67071525,2035.61797626,16318.1818182,12179.245283,12463.8497653,7098.99425287,6292.8038081,8207.29338843,12633.1010453
PAYMENTS,1781.10327657,1041.99310868,2612.93900749,16646.7917146,911.21198627,21749.1502636,4081.2284332,2065.26682551,2568.40468548,906.860775148,10426.3563431,1922.7957051,29069.9312521,1833.76016605,894.286060445,13270.0085087,28721.4609812,2610.19166524,3042.26782889,6260.96197785,28270.8436238,15457.3777251,2763.43726619,2245.3694328,859.152542947,1280.26302153,7604.60931512,2134.78118124,28721.4609812,866.896588786,1997.7362452,3307.50490259,1416.08806099,16381.2901466,1778.13750942,870.031959619,28250.518145,21131.6013232,2095.72313011,7149.36567005,1381.87335385,6939.37398548,2858.42865374
MINIMUM_PAYMENTS,857.299609937,623.265819911,1365.67761069,2195.53534049,616.552605094,2504.62047752,2175.9943482,834.511020648,2232.2234864,615.534353293,1806.16405198,806.995931863,2990.52207527,367.243008089,629.093332697,1923.31525926,3327.13728972,1911.22604028,2063.84601178,978.781130617,3214.97047354,2186.74032738,2976.74849239,519.438001153,609.381562942,813.130365801,1017.4138663,548.547897805,3327.13728972,623.4143489,1843.01687529,3418.86053432,333.851639656,2104.9633679,1894.32071374,610.797473038,3479.12362645,2380.5268228,455.211234479,975.729773128,319.702329391,1723.47641539,3543.03180152
PRC_FULL_PAYMENT,0.157968320588,0.161084651778,0.142303797394,0.262469184971,0.151888414983,0.319202582418,0.0982548771139,0.186213266801,0.0977004332425,0.151718329019,0.183065236246,0.181753814739,0.464276117647,0.260330318464,0.149179802462,0.211919466321,0.46075756,0.028881525974,0.12909389313,0.248286389085,0.481497653846,0.161328761062,0.00446471047957,0.291719731405,0.14964901686,0.159223550197,0.30031608,0.274055329004,0.46075756,0.147775097228,0.015207486,0.00354356508876,0.244149826403,0.155889181818,0.0118787135628,0.147686687398,0.493285090909,0.203367867925,0.301714152582,0.314983227011,0.249258062286,0.0718783181818,0.0
TENURE,11.5330118268,11.4476205944,11.7326607818,11.8265895954,11.4027830728,11.7802197802,11.7147688839,11.7340040241,11.7234332425,11.398763524,11.7443365696,11.7267915309,11.9411764706,11.829474873,11.4023055881,11.7461139896,11.92,11.452690167,11.8759541985,11.860915493,11.9230769231,11.7345132743,11.5719360568,11.7789256198,11.3772090189,11.7332677165,11.9226666667,11.7748917749,11.92,11.3838157358,11.451,11.6893491124,11.8508250825,11.6704545455,11.5020242915,11.3796900489,11.9090909091,11.6603773585,11.7582159624,11.9568965517,11.848733744,11.3318181818,11.9059233449
Min_due_payment_not_paid,0.271443334482,0.282767581614,0.261034047919,0.0115606936416,0.300419367137,0.010989010989,0.315670800451,0.204024144869,0.388283378747,0.299265842349,0.0226537216828,0.212947882736,0.0,0.0863918690006,0.30558812036,0.0155440414508,0.0,0.438775510204,0.326335877863,0.0246478873239,0.0,0.00884955752212,0.529307282416,0.0929752066116,0.303879748121,0.250984251969,0.0133333333333,0.106060606061,0.0,0.307582551977,0.485,0.511834319527,0.0937293729373,0.0113636363636,0.511133603239,0.306484502447,0.0,0.0188679245283,0.0915492957746,0.014367816092,0.0889801505818,0.118181818182,0.540069686411
Cluster_3,0.312894706625,0.0,1.0,2.0,0.0,2.0,1.08229988726,0.637022132797,1.00953678474,0.0,1.38834951456,0.605456026059,2.0,0.577075098814,0.0,1.69948186528,2.0,0.733766233766,1.01908396947,0.720070422535,2.0,1.94690265487,1.00888099467,1.01033057851,0.0,0.485728346457,0.96,1.00432900433,2.0,0.0,0.672,1.04142011834,0.43300330033,1.94318181818,0.664979757085,0.0,2.0,2.0,1.00469483568,0.919540229885,0.421629021218,1.18181818182,1.0243902439
Cluster_4,1.07015730853,0.443885008933,2.65783942833,1.52601156069,0.0,1.0,2.0,3.0,2.09673024523,0.0,1.98705501618,2.90431596091,1.0,2.85093167702,0.0181711606096,1.74093264249,1.0,2.5547309833,2.0286259542,2.45950704225,1.0,1.47787610619,2.13854351687,2.5,0.0,2.61614173228,2.464,2.47402597403,1.0,0.00183448838157,2.515,2.0,2.57623762376,1.42045454545,2.53846153846,0.0018352365416,1.0,1.0,2.50938967136,2.51724137931,2.55852156057,2.14090909091,2.0
Cluster_5,1.52692616833,1.31671268475,2.01387137453,2.31213872832,1.02630575677,2.74725274725,0.540022547914,2.89134808853,0.0,1.0,2.0,3.0,4.0,2.85601355167,1.02110199297,2.0932642487,4.0,2.29684601113,0.0648854961832,2.4735915493,4.0,2.12389380531,0.626998223801,1.17768595041,1.0,2.80659448819,2.36266666667,1.08225108225,4.0,1.00163065634,2.423,0.236686390533,2.77425742574,2.18181818182,2.43927125506,1.00163132137,4.0,2.41509433962,1.16666666667,2.43965517241,2.76317590691,1.68636363636,0.0209059233449
Cluster_6,1.43655988058,1.01867792756,2.45397225725,2.31791907514,1.02840259245,2.27472527473,4.24239007892,1.26599597586,4.44005449591,1.02318392581,2.74757281553,1.22719869707,2.73529411765,0.0,1.0,2.0,3.0,4.0,5.0,1.96654929577,2.96153846154,2.02654867257,4.3836589698,2.56818181818,1.01807840748,1.16387795276,1.912,2.71645021645,3.0,1.00061149613,3.689,4.55325443787,0.0996699669967,2.0,3.54048582996,1.00550570962,3.0,2.05660377358,2.54694835681,1.60632183908,0.101984941821,3.20454545455,4.90940766551
Cluster_7,4.67148926398,5.01624167614,4.00336275746,1.58959537572,4.98951582158,1.64835164835,2.83990980834,4.76458752515,3.37738419619,4.97816846986,1.18770226537,4.89780130293,1.23529411765,4.96273291925,4.98671355998,1.53367875648,1.0,3.97773654917,3.36641221374,0.0,1.0,2.0,3.0,4.0,5.0,6.0,0.269333333333,3.97835497835,1.0,4.97615165104,4.601,2.97928994083,5.62574257426,2.0,4.82085020243,4.9751223491,1.0,1.94339622642,3.9882629108,0.287356321839,5.70088980151,1.75,3.08362369338
Cluster_8,3.51659203123,3.4406366737,3.67339218159,4.06358381503,3.13400686237,4.54945054945,3.1273957159,4.42535211268,3.10762942779,3.10741885626,2.83818770227,4.59201954397,3.11764705882,4.83512140034,3.08968347011,3.93264248705,2.0,3.67810760668,2.81679389313,1.83802816901,1.92307692308,5.89380530973,4.44227353464,1.22727272727,3.03696932765,5.32480314961,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,4.05566801619,3.00203915171,2.0,6.71698113208,1.04694835681,0.439655172414,5.98699520876,3.73636363636,4.63066202091
Cluster_9,2.42886668963,1.6847490661,4.19251786465,4.65895953757,1.19958063286,3.15384615385,5.43517474634,3.92434607646,5.05177111717,1.16460587326,5.78964401294,3.88680781759,2.41176470588,5.41389045737,1.149667839,5.44041450777,2.12,1.30519480519,6.05152671756,4.38556338028,2.23076923077,5.05309734513,4.92362344583,4.30785123967,1.03920373756,3.96653543307,5.32266666667,4.20346320346,2.12,1.00305748064,0.415,7.53846153846,5.8495049505,4.72727272727,0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
